model,split,n,defaults,observed_rate,predicted_rate,auc,gini,ks,brier,brier_null,brier_skill,log_loss,oe_ratio,calibration_intercept,calibration_slope,auc_delta_vs_champion,auc_delta_ci_low,auc_delta_ci_high
Champion logistic,oot,4085,371,0.09082007343941248,0.08051651334051294,0.8047360682316638,0.6094721364633275,0.4556279365466429,0.06900691551140695,0.08257178769987221,0.16427974452691008,0.24595256368867913,1.1279682846588834,0.34505347786253776,1.0957876964546414,0.0,,
Challenger tree,oot,4085,371,0.09082007343941248,0.06046409560372075,0.7530978435206193,0.5061956870412385,0.3715626891473509,0.0752810668671881,0.08257178769987221,0.0882955430150556,0.2724087452692064,1.5020496466968363,0.3474948027552858,0.9438990221534557,-0.05163822471104451,-0.06681027312893242,-0.03580178418378307
