split,n,defaults,observed_rate,predicted_rate,auc,gini,ks,brier,brier_null,brier_skill,log_loss,oe_ratio,calibration_intercept,calibration_slope,auc_ci_low,auc_ci_high,ks_ci_low,ks_ci_high
train,11893,530,0.04456402926090978,0.044588449704610816,0.8001434646377933,0.6002869292755866,0.4693360941420266,0.0388806901661423,0.042578076556942554,0.086837797519,0.15371744452268019,0.9994523145823007,0.006004152762933248,1.0026212342107914,,,,
validation,4022,202,0.05022376926902039,0.04927394750821991,0.7911279871442641,0.5822559742885283,0.4716318490487792,0.0427559055607818,0.047701342269432595,0.10367500102444438,0.16722922915745816,1.0192763480263485,0.07238180284744272,1.0205661944659732,,,,
oot,4085,371,0.09082007343941248,0.08051651334051294,0.8047360682316638,0.6094721364633275,0.4556279365466429,0.06900691551140695,0.08257178769987221,0.16427974452691008,0.24595256368867913,1.1279682846588834,0.34505347786253776,1.0957876964546414,0.7812817733648799,0.8262554421187085,0.41992844303857946,0.5080534750908327
