scenario,mean_pd,absolute_change,relative_change,expected_direction,direction_pass
fico_score -25,0.10449924758978273,0.02398273424926979,0.2978610629579084,increase,True
ltv +5,0.09201922823715628,0.01150271489664334,0.14286156242256953,increase,True
dti +5,0.08697807518100072,0.006461561840487781,0.08025138660887055,increase,True
unemployment_rate +1,0.103439319679013,0.022922806338500065,0.2846969570273996,increase,True
rate_spread +1,0.09632862962931607,0.015812116288803135,0.19638351976236246,increase,True
combined_adverse,0.1872490064501949,0.10673249310968197,1.3255975536136155,increase,True
