split,n,defaults,observed_rate,predicted_rate,auc,gini,ks,brier,brier_null,brier_skill,log_loss,oe_ratio,calibration_intercept,calibration_slope,segment
lower_fico,1273,227,0.17831893165750196,0.16581833901726023,0.7798409716899285,0.559681943379857,0.44791991307350854,0.11956071936383325,0.14652129027002908,0.18400446007886828,0.3881504995380464,1.075387274497669,0.508720544608721,1.2872523629915003,lower_fico
high_ltv,663,143,0.21568627450980393,0.18610405733119256,0.7942307692307693,0.5884615384615386,0.4580419580419581,0.1352398513738223,0.16916570549788543,0.20054806040156403,0.4249097019819818,1.1589552511795407,0.5861288983160983,1.2822228717020618,high_ltv
high_dti,748,121,0.16176470588235295,0.1362218659549065,0.8069780009753912,0.6139560019507824,0.5048571842830216,0.10579021883621834,0.1355968858131488,0.21981822663688433,0.34979674773911423,1.1875091032441287,0.5798948843670902,1.2156302858475123,high_dti
IL,2196,192,0.08743169398907104,0.0813282795413853,0.8103714446107785,0.620742889221557,0.4642589820359282,0.06609370572224685,0.07978739287527248,0.1716272039923935,0.2365476444437931,1.0750466440714501,0.3008129223595055,1.105722766053237,IL
WI,1304,128,0.09815950920245399,0.07936991359229666,0.8148782950680272,0.6297565901360545,0.4794855442176871,0.07317932575718968,0.08852421995558735,0.17334119641038592,0.25699874448102406,1.2367344848915267,0.570344609430632,1.1463564937054393,WI
